extracted_feature, male_mean, female_mean, all_mean, male_median, female_median, all_median, male_variance, female_variance, all_variance, male_stdev, female_stdev, all_stdev, anova_Fval, anova_Fcrit5, anova_Pval
F0semitoneFrom27.5Hz_sma3nz_amean, 24.6395575196, 33.1246375777, 28.4100185491, 23.966285, 33.464115, 28.13156, 24.3666661872, 15.3429990259, 38.1331639504, 4.93626034435, 3.91701404464, 6.1752055796, 2399.64305051, 3.84484253165, 0.0
F0semitoneFrom27.5Hz_sma3nz_stddevNorm, 0.0380354377367, 0.0346867205362, 0.0365473895843, 0.01727146, 0.015195145, 0.016233805, 0.00394849992639, 0.00253274180502, 0.00332215726451, 0.0628370903718, 0.0503263529874, 0.0576381580596, 2.29215911435, 3.84484253165, 0.130143929743
F0semitoneFrom27.5Hz_sma3nz_percentile20.0, 23.936281322, 32.3881528232, 27.6919856764, 23.322115, 33.03174, 26.73752, 23.433142725, 18.3837963181, 38.8268121968, 4.84077914442, 4.28763295049, 6.23111644866, 2287.35239592, 3.84484253165, 0.0
F0semitoneFrom27.5Hz_sma3nz_percentile50.0, 24.491037212, 33.1377460311, 28.3333201855, 23.84118, 33.4807, 28.179065, 24.5450520656, 16.0668888322, 39.2376282452, 4.95429632396, 4.00835238374, 6.26399459173, 2441.466881, 3.84484253165, 0.0
F0semitoneFrom27.5Hz_sma3nz_percentile80.0, 25.3303764136, 33.9207935106, 29.1476453927, 24.330885, 34.110075, 29.40824, 32.1275599842, 17.2077886914, 43.718146402, 5.66811785201, 4.14822717451, 6.61196993354, 1963.68778792, 3.84484253165, 4.94065645841e-324
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2, 1.39409505713, 1.53264067698, 1.45565969257, 0.59949495, 0.7091007, 0.64635755, 10.2953925088, 8.8269983402, 9.64763084267, 3.2086434063, 2.97102647922, 3.10606356063, 1.35059214352, 3.84484253165, 0.245275545497
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope, 20.5705557803, 30.8475505726, 25.1372785571, 6.591616, 6.3758455, 6.517247, 5144.70117381, 9266.54490989, 7002.37587417, 71.7265722993, 96.262894772, 83.6802000128, 10.271955043, 3.84484253165, 0.00136614981014
F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope, 5.45735911808, 6.59395498336, 5.96242098985, 0.0, 0.0, 0.0, 635.19873822, 846.234288575, 729.294226518, 25.2031493711, 29.0901063693, 27.0054480896, 1.20238971691, 3.84484253165, 0.272940655712
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope, 16.6731540937, 14.2449448702, 15.5941462133, 4.5616185, 4.826509, 4.6909645, 4967.15599695, 3525.02249415, 4327.78010841, 70.4780533, 59.3718998698, 65.7858655671, 0.924696125395, 3.84484253165, 0.336329540814
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope, 5.66011725522, 5.83511585567, 5.73788026967, 1.189682, 1.028114, 1.0776455, 866.903885951, 1264.20523863, 1043.45772109, 29.4432315813, 35.5556639459, 32.3025961974, 0.019913304827, 3.84484253165, 0.887789824511
loudness_sma3_amean, 2.78927006158, 2.91859315524, 2.84673654175, 2.5612575, 2.78205, 2.6572715, 1.55700904789, 1.58106100529, 1.57182620979, 1.24780168612, 1.25740248341, 1.25372493386, 7.23829004913, 3.84484253165, 0.00717967592642
loudness_sma3_stddevNorm, 0.396783795432, 0.419575480311, 0.406911591404, 0.38754975, 0.4149213, 0.3984079, 0.0229413153109, 0.0232529898253, 0.0232080694146, 0.151463907618, 0.152489310528, 0.152341948965, 15.2709654587, 3.84484253165, 9.53851266794e-05
loudness_sma3_percentile20.0, 1.80855798639, 1.86366977463, 1.83304766102, 1.528112, 1.570039, 1.551659, 1.23561378197, 1.4134274076, 1.31537761685, 1.1115816578, 1.18887653169, 1.14689913107, 1.56758872454, 3.84484253165, 0.210664088004
loudness_sma3_percentile50.0, 2.84613726859, 2.88247918372, 2.86228629415, 2.496725, 2.5898735, 2.520374, 2.19309935985, 2.14398713434, 2.17160176822, 1.48091166511, 1.46423602412, 1.47363556153, 0.412711484365, 3.84484253165, 0.520650052612
loudness_sma3_percentile80.0, 3.81397173547, 4.1017671252, 3.94185754138, 3.6635845, 4.0891475, 3.8546735, 2.51855336076, 2.57203735651, 2.5627698696, 1.5869950727, 1.60375726234, 1.60086535024, 22.1046377797, 3.84484253165, 2.70922176776e-06
loudness_sma3_pctlrange0-2, 2.00541375185, 2.23809732756, 2.10880987167, 1.9262055, 2.243169, 2.038978, 1.26143068042, 1.41191094838, 1.34166646077, 1.12313431094, 1.18823859068, 1.15830326805, 27.6555074204, 3.84484253165, 1.56100923205e-07
loudness_sma3_meanRisingSlope, 16.5984738878, 19.4951849705, 17.885666958, 13.58648, 14.95307, 14.131165, 218.712536054, 385.906828865, 295.079360419, 14.788932891, 19.6445114183, 17.1778741531, 19.4302047724, 3.84484253165, 1.08346491974e-05
loudness_sma3_stddevRisingSlope, 10.1158227064, 13.1252581802, 11.4531063969, 8.303958, 9.343834, 8.6819175, 78.9238260134, 178.261566189, 125.302046774, 8.88390826233, 13.351463073, 11.1938396797, 49.9319148622, 3.84484253165, 2.00945646606e-12
loudness_sma3_meanFallingSlope, 7.2753425983, 7.63385428351, 7.43465215442, 8.992434, 8.62977, 8.81689, 215.702717178, 186.606244017, 202.805037362, 14.6868212074, 13.6603895997, 14.2409633579, 0.430072583001, 3.84484253165, 0.512008235313
loudness_sma3_stddevFallingSlope, 4.49275946564, 3.47980973589, 4.04264144028, 0.35642065, 0.0, 0.0, 49.056770778, 45.0888546393, 47.5469138292, 7.00405388172, 6.71482350024, 6.89542702298, 14.7203982444, 3.84484253165, 0.000127496229161
jitterLocal_sma3nz_amean, 0.0224503662217, 0.0194092887169, 0.0210990219632, 0.01598912, 0.01275877, 0.01438578, 0.000862785904525, 0.000467959827973, 0.000689622964738, 0.0293732174698, 0.0216323791566, 0.0262606733489, 9.12913316076, 3.84484253165, 0.00253890183002
jitterLocal_sma3nz_stddevNorm, 0.862052050099, 1.1389174441, 0.985080963361, 0.7800595, 1.0507395, 0.9026441, 0.230685325284, 0.284425677186, 0.27349191852, 0.480297121877, 0.533315738738, 0.522964548052, 204.307149437, 3.84484253165, 9.27392635153e-45
shimmerLocaldB_sma3nz_amean, 0.906190104107, 0.925939690184, 0.914966101993, 0.6509091, 0.65067675, 0.65067675, 0.917558464287, 0.918249224343, 0.917961717124, 0.957892720657, 0.958253215149, 0.958103187096, 0.288325392264, 3.84484253165, 0.59133913269
shimmerLocaldB_sma3nz_stddevNorm, 0.637556056861, 0.836532661208, 0.72597402432, 0.6316706, 0.81135535, 0.70730965, 0.236661490332, 0.294233076798, 0.272019579804, 0.486478663799, 0.542432555069, 0.521554963358, 102.43397428, 3.84484253165, 1.15286383056e-23
HNRdBACF_sma3nz_amean, 5.44833703682, 9.5921998216, 7.28971897246, 5.363765, 10.08421, 6.878661, 4.90421318432, 6.06759400354, 9.6609239584, 2.21454581897, 2.46324866864, 3.1082026894, 2149.13165462, 3.84484253165, 0.0
HNRdBACF_sma3nz_stddevNorm, 0.31636510051, 0.24799815966, 0.285985318067, 0.265217, 0.21933985, 0.24543975, 0.40317197763, 0.0220516951769, 0.234970024635, 0.63495824873, 0.148498131897, 0.484737067527, 13.563257301, 3.84484253165, 0.000235101210201
logRelF0-H1-H2_sma3nz_amean, 4.60822069043, 3.74665400665, 4.22537178585, 3.917035, 3.511038, 3.7957095, 32.2132894398, 48.4912928992, 39.6299188272, 5.67567524087, 6.96356897713, 6.29522984705, 12.7677289088, 3.84484253165, 0.000358714062876
logRelF0-H1-H2_sma3nz_stddevNorm, 0.0890402139136, 0.0594095291162, 0.0758734150691, 0.4053844, 0.4903356, 0.43269425, 148.163386398, 3768.88328617, 1757.07986409, 12.1722383479, 61.391231346, 41.9175364745, 0.00033902976598, 3.84484253165, 0.9853109091
logRelF0-H1-A3_sma3nz_amean, 19.8508022991, 18.0377014592, 19.0451262168, 19.950035, 18.16622, 19.197525, 57.5479574398, 56.095531085, 57.7142100151, 7.5860370049, 7.48969499279, 7.5969869037, 39.1974734668, 3.84484253165, 4.4301209091e-10
logRelF0-H1-A3_sma3nz_stddevNorm, 0.348259305411, 0.292500644362, 0.323482184028, 0.23898685, 0.29384035, 0.26622595, 1.07045382705, 20.7151810405, 9.80062388038, 1.03462738561, 4.55139330761, 3.13059481255, 0.215253820534, 3.84484253165, 0.642717060465
F1frequency_sma3nz_amean, 575.831150524, 654.602628478, 610.834330909, 557.04635, 650.7317, 601.1377, 14138.4095688, 12586.4748556, 14980.8158312, 118.905044337, 112.189459646, 122.396143041, 313.040694843, 3.84484253165, 1.9998052527e-66
F1frequency_sma3nz_stddevNorm, 0.212122631164, 0.204938502495, 0.208930265625, 0.1964715, 0.2065962, 0.20123555, 0.0115970326211, 0.00800598740162, 0.0100140458761, 0.107689519551, 0.0894761834323, 0.100070204737, 3.50136618111, 3.84484253165, 0.0614244070057
F1bandwidth_sma3nz_amean, 1447.31434424, 1417.02571751, 1433.85517993, 1441.8825, 1425.3765, 1435.118, 14376.2748508, 15598.3639809, 15145.8373206, 119.90110446, 124.893410478, 123.06842536, 41.721108556, 3.84484253165, 1.2405473323e-10
F1bandwidth_sma3nz_stddevNorm, 0.10816205283, 0.112609166997, 0.110138188653, 0.09556811, 0.10584855, 0.1006555, 0.00349092997894, 0.0026403800569, 0.00311785951149, 0.0590840924356, 0.0513846286052, 0.055837796442, 4.31048971422, 3.84484253165, 0.0379708152351
F1amplitudeLogRelF0_sma3nz_amean, -232624.64433, -25.6594713645, -129266.113604, -35.86598, -22.32859, -28.31192, 8.26073671041e+13, 63236.3844927, 4.59130151989e+13, 9088859.50514, 251.468456258, 6775914.34412, 0.79974602431, 3.84484253165, 0.37124763112
F1amplitudeLogRelF0_sma3nz_stddevNorm, -2.51691457505, -1.82797347402, -2.21077420215, -1.5248355, -1.5345915, -1.5278735, 2280.47445779, 38.4075445758, 1284.29864202, 47.7543134993, 6.19738207438, 35.8371126351, 0.250774687423, 3.84484253165, 0.616570229313
F2frequency_sma3nz_amean, 1517.03806545, 1627.47899755, 1566.11399964, 1505.0835, 1621.978, 1559.5155, 12880.1910341, 14144.6545707, 16453.6172483, 113.490929303, 118.931301896, 128.271654111, 615.658371592, 3.84484253165, 8.3154783317e-123
F2frequency_sma3nz_stddevNorm, 0.0780855331492, 0.0836337463723, 0.0805509573524, 0.07072669, 0.082603215, 0.076361085, 0.0019629066418, 0.00119683013185, 0.00163009048077, 0.0443047022538, 0.0345952327907, 0.040374379014, 12.8727143435, 3.84484253165, 0.0003392292077
F2amplitudeLogRelF0_sma3nz_amean, -54.9052720383, -42.1161613718, -49.2222563167, -42.21746, -32.42428, -36.63409, 1918.44993226, 1067.81802357, 1580.8440934, 43.8001133819, 32.6774849639, 39.759830148, 72.0404062907, 3.84484253165, 3.39674801437e-17
F2amplitudeLogRelF0_sma3nz_stddevNorm, -1.33465551257, -1.14958417602, -1.25241654048, -1.2523615, -1.07302, -1.164181, 12.9487431563, 5.42674524713, 9.61469764059, 3.59843620984, 2.32953756079, 3.10075759139, 2.41919431983, 3.84484253165, 0.119971713372
F3frequency_sma3nz_amean, 2478.3254928, 2546.36478069, 2508.55967818, 2476.5885, 2537.646, 2501.1585, 8770.69485057, 11132.3505252, 10963.1352315, 93.6519879691, 105.509954626, 104.704991435, 319.851386759, 3.84484253165, 9.34590174999e-68
F3frequency_sma3nz_stddevNorm, 0.0460567358868, 0.0551256939054, 0.05008665105, 0.043500415, 0.052953885, 0.048110955, 0.000492746087159, 0.000453722189607, 0.000495712201349, 0.0221978847452, 0.0213007556112, 0.0222645952433, 117.380695224, 3.84484253165, 8.18513547322e-27
F3amplitudeLogRelF0_sma3nz_amean, -60.4244476008, -45.8311489172, -53.9397163312, -49.424675, -36.87985, -41.74848, 1768.77793749, 1010.76968796, 1484.52851599, 42.0568417441, 31.7926042966, 38.5295797537, 100.908095659, 3.84484253165, 2.42313909223e-23
